download start, download stop, convert start, convert stop
0.0, 0.0, 09:58:53.338429, 10:00:18.884062
0.0, 0.0, 10:07:27.775458, 10:08:53.349603
0.0, 0.0, 10:10:52.179365, 10:12:17.778980
0.0, 0.0, 10:27:35.714147, 10:29:03.280633
0.0, 0.0, 10:29:03.897481, 10:30:29.316583
0.0, 0.0, 10:30:29.965818, 10:31:56.577388
0.0, 0.0, 10:31:57.214932, 10:33:22.662053
0.0, 0.0, 10:34:21.160789, 10:35:45.859955
0.0, 0.0, 10:39:29.520125, 10:40:54.849061
0.0, 0.0, 10:40:55.495074, 10:42:22.407527
0.0, 0.0, 10:49:25.084387, 10:50:54.896793
0.0, 0.0, 10:50:55.668239, 10:52:21.208495
0.0, 0.0, 10:52:21.868336, 10:53:47.437789
0.0, 0.0, 10:53:48.097416, 10:55:16.243682
0.0, 0.0, 10:55:16.906763, 10:56:42.067425
0.0, 0.0, 10:56:42.756519, 10:58:08.003686
0.0, 0.0, 10:58:08.670190, 10:59:33.504872
0.0, 0.0, 10:59:34.147553, 11:00:59.996518
0.0, 0.0, 11:01:00.670990, 11:02:25.864505
0.0, 0.0, 11:02:26.520582, 11:03:51.901297
